Video ID,Título,Data de Publicação,Duração,Playlists
-jpqwDJw6xs,#40 Retiro de Inverno 2020 (#136 Prajnaparamita) | Perguntas e Respostas 26/08/2020,2020-08-27T00:33:20Z,PT1H22M21S,
-kYPn7tMZt4,#1624 Puja Diário | 21/09/24,2024-09-22T10:57:42Z,PT56M26S,
-ljSnKqLp1A,"2024 01 11 Curso ""O caminho da prática em meio a vida"" CEBB Floripa | #04",2025-06-01T19:09:28Z,PT1H32M11S,
-lmvmavMnmk,2022 06 10 - Retiro: Apresentação dos Estágios do Caminho Budista - #9,2022-05-25T00:07:36Z,PT3H14M41S,
-mMzeY-5enE,2025 05 29 - Estudo de Aprofundamento - O Sutra do Lótus #8,2025-05-29T10:46:23Z,PT1H31M6S,
-nKM-7-08IU,"2023 09 19 Curso ""Relações e Redes – Ações Vitoriosas tecendo redes compassivas"" #2 - CEBB Maceió",2024-08-03T19:16:27Z,PT11M44S,
-prdO7pjEXo,Projeto Maitréia e as Relíquias de Buda - Parte 1,2010-03-25T09:56:16Z,PT7M8S,
-q0P3HLojlQ,"(LIBRAS) Palestra: ""Cultivando a lucidez: liberdade além das aparências | CEBB Fortaleza",2023-09-16T12:40:29Z,PT2H20M11S,
-qLCsR1Ozd4,#26 | Perguntas & Respostas (#277 Prajnaparamita) | Quinta Noite | 14/01/2021,2021-01-14T23:55:25Z,PT1H45M31S,
-qYwMwmq1JM,"Budismo e reencantamento do mundo #4 (manhã, 14/5/17, SP)",2017-05-14T16:18:46Z,PT2H52M17S,
-qbgHTX-Nig,Retiro de Verão | 7º Dia - Tarde | 20/02/2015,2015-02-20T21:23:18Z,PT1H13M26S,
-qfxrJN3qY4,2023 07 08 - Caminho da Visão | Retiro de Inverno no CEBB CM #01 (manhã),2023-07-04T17:01:42Z,PT2H52M50S,
-roZNzLbLP8,"Retiro de Verão 2016 #18 | Perguntas e Respostas (relacionamentos, 5 skandas) (6º dia, tarde)",2016-02-11T19:40:36Z,PT1H21M45S,
-shpbbJDEk8,2023 01 04 - Retiro Bacopari 2023 - 03 a 1601- #02,2022-12-05T12:15:38Z,PT2H6M6S,
-th_2fEfErQ,#1821 Puja Diário | 08/04/25,2025-04-09T11:09:59Z,PT55M30S,
-u2xy9XpFyA,#1793 Puja Diário | 11/03/25,2025-03-12T11:00:38Z,PT49M35S,
-ujrtSlDj08,Palestra: O Caminho Budista da Cura da Mente e das Emoções | CEBB BH - 23.05.24,2024-05-02T19:23:50Z,PT2H1M21S,
-uq9YY_BGeo,[Inglês] 2024 07 28 - Retiro de Inverno 2024 no CEBB Alto Paraíso #16,2024-07-21T12:27:15Z,PT2H49M21S,
-vUqAa4pYEE,"2022 05 01 - Retreat “View, Meditation and Action” - #05",2022-04-13T12:15:41Z,PT2H4M31S,
-wYcVb0YwAQ,"Palestra ""Práticas para uma vida harmoniosa e um cotidiano lúcido"" - CEBB Criciúma",2025-03-31T14:41:12Z,PT1H34M16S,
-xgvX_iO-So,#7 Retiro de Verão | 2018,2018-02-12T14:21:42Z,PT2H15M6S,
-xshZrztOOg,#950 Prática de Prajnaparamita e Buda da Medicina  | 15/11/22,2022-11-15T23:20:21Z,PT1H18M5S,
-z-pMrN1euE,"2024/04/20 - Estudo de Aprofundamento - Sabedoria, Nirvana, Etapas de Realização | #11",2024-04-11T12:07:02Z,PT2H34M11S,
-zIBbLXR1w4,lama lucidez,2014-06-02T02:13:18Z,PT1H48M33S,
-zf9twp4bbI,Retiro de Verão 2014 com Lama Padma Samten (3º dia - MANHÃ),2014-02-16T17:20:08Z,PT2H25M11S,
0-_X6emDdPM,#377 Prática Prajnaparamita e Buda da Medicina | 24/04/2021,2021-04-24T23:11:01Z,PT59M7S,
